+-----------+--------------------+--------------------+--------------------+--------------------+------------------------+---------------------+-----------------------+---------------------+
|    name   |         EN         |         SD         |         SF         |         MI         |          SCD           |         VIF         |          Qabf         |         SSIM        |
+-----------+--------------------+--------------------+--------------------+--------------------+------------------------+---------------------+-----------------------+---------------------+
| 00177.png | 6.979365077549568  |  35.6276085571278  | 6.712603462539233  | 2.623730800412579  |  0.018495083333309847  |  0.9619384817667732 |  0.037210799483460774 |  1.4099106323991186 |
| 02495.png | 6.082884459698989  | 29.825606332498268 | 5.174320794805512  | 3.472607497940106  |  0.32859595723017027   |  0.6840248585113213 |   0.0626374260244189  |  1.3702518455979817 |
| 01963.png | 6.620564194719347  | 29.316724647113656 | 8.608553602764802  | 2.532259118881728  |   0.5232462667386377   |  0.7993640742310505 |  0.01881210870890181  |  1.2884524589795323 |
| 01443.png | 6.568494951590224  | 23.928096357093413 | 7.852265215582577  | 1.9799313108495986 |  -0.1853788499865322   |  0.969876590011709  |  0.03871276161943732  |  1.384491084526882  |
| 00572.png | 6.662367120389166  | 34.777624249759725 | 4.399077923178421  | 2.3473755634131406 |  -0.5579511320918475   |  0.8320829631255418 |  0.02297445371766508  |  1.6605442361967273 |
| 04018.png | 7.124190569866796  | 38.91679005319872  | 4.150503530327053  | 3.4439224921394858 |  -0.7104040986264638   |  0.9823358055580659 |  0.05962831234372896  |  1.4660530431229304 |
| 02119.png | 7.164524385643985  | 43.915697470876346 | 4.660855279041233  | 4.187703447587371  |   0.6056281554968805   |  0.8022817652537841 |  0.04281474782389995  |  1.323024224933333  |
| 01136.png |  6.27628849128549  | 33.988632061281585 | 3.040413217641922  | 3.6053392788282768 |  -0.5845365628368748   |  0.8912138835827701 |  0.06622411672500038  |   1.60774300197799  |
| 02033.png | 6.685082194214785  | 29.32411372006905  | 4.700318101397773  | 3.744138760563869  |  0.14118973410910235   |  0.7107929753813523 |  0.033800458813760745 |  1.3079163570226655 |
| 01981.png | 6.630520387105816  | 29.848616250391302 | 8.541188766482572  | 2.7044688734851423 |   0.5884785561525087   |  0.7311550724713476 |  0.02169313885702518  |  1.2308104161791693 |
| 03473.png | 7.011539662245791  | 34.01492185800238  | 7.6750906743154514 | 2.1738396699333946 |   -0.292294228876391   |  0.7826208495872233 |  0.03783106749624065  |  1.3565682475049372 |
| 00805.png | 6.394391467992481  | 26.42905749823106  | 7.201296529714012  | 2.8296421770004665 |   0.531209967812013    |  0.8414071050041815 |  0.031105317802346086 |   1.3346881956347   |
| 02739.png | 7.199119485471301  | 38.037906495171924 | 7.1294923875499805 | 2.7603313968576217 |  -0.05758530023524169  |  0.6919855745884637 |  0.03980364470014901  |  1.272769749588447  |
| 01437.png | 7.178094028374539  | 37.18535670527173  | 9.110316960689719  | 2.3048299318463306 |  -0.24872517081965734  |  0.9057294593885905 |  0.04024537407519284  |  1.3242077726601729 |
| 01531.png | 6.696969782897409  | 40.85786230665757  | 5.523362351318552  | 3.945298182178151  |  0.29510380459177005   |  0.7024941551744734 |  0.03329135481771163  |  1.380797412450562  |
